CIA_Percentage,GPA,Attendance_Percentage
78.0,3.24,93.12145833333334
64.78,3.2,93.12145833333334
80.0,3.6,93.12145833333334
70.0,3.2,92.0
68.0,3.4,85.0
70.0,3.5,87.0
88.0,3.7,93.12145833333334
74.05313725490196,3.476800000000001,90.0
70.0,3.4,89.0
83.0,3.89,98.0
70.0,3.3,97.0
70.0,3.5,99.0
70.0,3.48,97.0
64.67,3.4,95.0
70.0,2.9,90.0
89.0,3.67,89.0
71.11,3.37,94.25
66.0,2.9,91.0
80.0,3.6,93.0
78.0,3.75,95.0
70.0,3.6,98.6
67.0,3.46,92.08
80.0,3.64,95.0
84.0,3.476800000000001,85.0
80.0,3.7,95.0
78.0,3.4,100.0
60.0,3.4,86.0
85.0,3.6,99.0
70.0,3.4,85.0
77.0,3.6,97.0
80.0,3.476800000000001,85.0
80.0,3.86,96.0
75.0,3.6,94.0
74.05313725490196,2.93,89.0
71.0,3.4,90.0
70.32,3.29,92.83
71.0,3.51,95.0
70.0,3.6,92.0
70.0,3.0,93.12145833333334
70.0,3.11,98.03
70.0,3.27,93.12145833333334
80.0,3.8,98.0
70.0,3.3,89.0
75.0,3.0,90.0
77.0,3.77,97.99
72.0,3.5,88.0
74.05313725490196,4.0,100.0
71.5,3.46,98.0
78.0,3.74,99.34
76.0,3.6,98.71
79.33,3.8,100.0
86.0,3.476800000000001,86.0
63.0,4.0,92.0
