participant_id,split,_STATE,SEQNO,target
35-2023002158,train,35.0,b'2023002158',0
53-2023012624,train,53.0,b'2023012624',0
39-2023003944,train,39.0,b'2023003944',0
15-2023004529,train,15.0,b'2023004529',0
53-2023025266,train,53.0,b'2023025266',0
22-2023002671,train,22.0,b'2023002671',0
55-2023005201,train,55.0,b'2023005201',0
27-2023014371,train,27.0,b'2023014371',0
72-2023003222,train,72.0,b'2023003222',0
31-2023008744,train,31.0,b'2023008744',0
39-2023011924,train,39.0,b'2023011924',0
53-2023019764,train,53.0,b'2023019764',0
41-2023002499,train,41.0,b'2023002499',0
53-2023024799,train,53.0,b'2023024799',0
24-2023016938,train,24.0,b'2023016938',0
04-2023008766,train,4.0,b'2023008766',0
31-2023008306,train,31.0,b'2023008306',0
45-2023006318,train,45.0,b'2023006318',0
15-2023003577,train,15.0,b'2023003577',0
29-2023005766,train,29.0,b'2023005766',0
36-2023010622,train,36.0,b'2023010622',0
50-2023006281,train,50.0,b'2023006281',0
23-2023008919,train,23.0,b'2023008919',0
15-2023002639,train,15.0,b'2023002639',0
09-2023002898,train,9.0,b'2023002898',0
53-2023010619,train,53.0,b'2023010619',0
15-2023001873,train,15.0,b'2023001873',0
49-2023010576,train,49.0,b'2023010576',0
28-2023000540,train,28.0,b'2023000540',0
18-2023004707,train,18.0,b'2023004707',0
36-2023004943,train,36.0,b'2023004943',0
15-2023003075,train,15.0,b'2023003075',0
19-2023002056,train,19.0,b'2023002056',0
08-2023005579,train,8.0,b'2023005579',0
11-2023002661,train,11.0,b'2023002661',0
53-2023025606,train,53.0,b'2023025606',0
40-2023005297,train,40.0,b'2023005297',0
49-2023010513,train,49.0,b'2023010513',0
16-2023006285,train,16.0,b'2023006285',0
20-2023002635,train,20.0,b'2023002635',0
24-2023004767,train,24.0,b'2023004767',0
27-2023007244,train,27.0,b'2023007244',0
40-2023003089,train,40.0,b'2023003089',0
27-2023012554,train,27.0,b'2023012554',0
08-2023004652,train,8.0,b'2023004652',0
26-2023003840,train,26.0,b'2023003840',0
41-2023000078,train,41.0,b'2023000078',0
24-2023009790,train,24.0,b'2023009790',0
66-2023001123,train,66.0,b'2023001123',0
48-2023004940,train,48.0,b'2023004940',0
25-2023004001,train,25.0,b'2023004001',0
26-2023008827,train,26.0,b'2023008827',0
16-2023003554,train,16.0,b'2023003554',0
55-2023007797,train,55.0,b'2023007797',0
46-2023001741,train,46.0,b'2023001741',0
25-2023003680,train,25.0,b'2023003680',0
31-2023008162,train,31.0,b'2023008162',0
27-2023014773,train,27.0,b'2023014773',0
36-2023009308,train,36.0,b'2023009308',0
28-2023000684,train,28.0,b'2023000684',0
19-2023004635,train,19.0,b'2023004635',0
50-2023006918,train,50.0,b'2023006918',0
17-2023003585,train,17.0,b'2023003585',0
54-2023001821,train,54.0,b'2023001821',0
04-2023003891,train,4.0,b'2023003891',0
24-2023014101,train,24.0,b'2023014101',0
23-2023010628,train,23.0,b'2023010628',0
49-2023002465,train,49.0,b'2023002465',0
05-2023004993,train,5.0,b'2023004993',0
17-2023001604,train,17.0,b'2023001604',0
02-2023004198,train,2.0,b'2023004198',0
44-2023003016,train,44.0,b'2023003016',0
39-2023004992,train,39.0,b'2023004992',0
24-2023016573,train,24.0,b'2023016573',0
31-2023007625,train,31.0,b'2023007625',0
33-2023005022,train,33.0,b'2023005022',0
23-2023008785,train,23.0,b'2023008785',0
55-2023005392,train,55.0,b'2023005392',0
19-2023006292,train,19.0,b'2023006292',0
47-2023001488,train,47.0,b'2023001488',0
51-2023003410,train,51.0,b'2023003410',0
72-2023001005,train,72.0,b'2023001005',1
49-2023005535,train,49.0,b'2023005535',0
08-2023005117,train,8.0,b'2023005117',0
02-2023004127,train,2.0,b'2023004127',0
15-2023002217,train,15.0,b'2023002217',0
06-2023011443,train,6.0,b'2023011443',0
08-2023000041,train,8.0,b'2023000041',0
31-2023000088,train,31.0,b'2023000088',0
72-2023000685,train,72.0,b'2023000685',0
39-2023005154,train,39.0,b'2023005154',0
08-2023004815,train,8.0,b'2023004815',0
46-2023004482,train,46.0,b'2023004482',0
28-2023002485,train,28.0,b'2023002485',0
41-2023000095,train,41.0,b'2023000095',0
25-2023002773,train,25.0,b'2023002773',0
06-2023003629,train,6.0,b'2023003629',0
40-2023005130,train,40.0,b'2023005130',0
26-2023004200,train,26.0,b'2023004200',0
27-2023014884,train,27.0,b'2023014884',0
44-2023000862,train,44.0,b'2023000862',0
53-2023024736,train,53.0,b'2023024736',0
30-2023002729,train,30.0,b'2023002729',0
45-2023007828,train,45.0,b'2023007828',0
