feature,feature_group,configurations,description,official_valid_codes,official_value_labels,planned_transform,special_response_handling
_MICHD,target,outcome,Ever reported myocardial infarction or coronary heart disease,"1,2",1=Positive/reported MI or CHD; 2=Negative/did not report MI or CHD,Map 1 to 1 and 2 to 0; exclude blank target before splitting,"Blank when either source item is unknown, refused, or missing"
_AGE80,demographic,filter/subgroup only,"Imputed age, collapsed only above 80",18-39,18-39=exact imputed age within study cohort,Retain as numeric for filtering/subgroups only,Blank only
SEXVAR,demographic,filter/subgroup only,Sex of respondent,"1,2",1=Male; 2=Female,Retain as categorical for subgroup evaluation only,Blank only
EXERANY2,lifestyle,both,Any exercise in past 30 days,"1,2",1=Yes; 2=No,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
_SMOKER3,lifestyle,both,Computed four-level smoking status,"1,2,3,4",1=Every day; 2=Some days; 3=Former; 4=Never,Treat as categorical after splitting,9=Don't know/Refused/Missing
DRNKANY6,lifestyle,both,Any alcoholic drink in past 30 days,"1,2",1=Yes; 2=No,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused/Missing
_RFBING6,lifestyle,both,Computed binge-drinking indicator,"1,2",1=No; 2=Yes,Treat as categorical after splitting,9=Don't know/Refused/Missing
_RFDRHV8,lifestyle,both,Computed heavy-drinking indicator,"1,2",1=No; 2=Yes,Treat as categorical after splitting,9=Don't know/Refused/Missing
_BMI5,lifestyle/non-invasive,lifestyle_plus_health_history,Computed BMI; two implied decimal places,1-9999,1-9999=BMI with two implied decimal places,Divide by 100 after splitting,Blank only
GENHLTH,low-cost health status/history,lifestyle_plus_health_history,Self-rated general health,"1,2,3,4,5",1=Excellent; 2=Very good; 3=Good; 4=Fair; 5=Poor,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
PHYSHLTH,low-cost health status/history,lifestyle_plus_health_history,Physically unhealthy days in past 30 days,"1-30,88",1-30=Number of days; 88=None,Recode 88 to 0 after splitting,77=Don't know/Not sure; 99=Refused
MENTHLTH,low-cost health status/history,lifestyle_plus_health_history,Mentally unhealthy days in past 30 days,"1-30,88",1-30=Number of days; 88=None,Recode 88 to 0 after splitting,77=Don't know/Not sure; 99=Refused
BPHIGH6,low-cost health history,lifestyle_plus_health_history,Ever told blood pressure was high,"1,2,3,4",1=Yes; 2=Pregnancy only; 3=No; 4=Borderline/pre-hypertensive/elevated,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
TOLDHI3,low-cost health history,lifestyle_plus_health_history,Ever told cholesterol was high,"1,2",1=Yes; 2=No,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
CVDSTRK3,low-cost health history,lifestyle_plus_health_history,Ever diagnosed with stroke,"1,2",1=Yes; 2=No,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
CHCKDNY2,low-cost health history,lifestyle_plus_health_history,Ever told of kidney disease,"1,2",1=Yes; 2=No,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
DIABETE4,low-cost health history,lifestyle_plus_health_history,Ever told of diabetes,"1,2,3,4",1=Yes; 2=Pregnancy only; 3=No; 4=Pre-diabetes/borderline,Treat as categorical after splitting,7=Don't know/Not sure; 9=Refused
