feature_config,model,imbalance_treatment,threshold_name,threshold,accuracy,balanced_accuracy,precision,recall,specificity,positive_class_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,recall_ci_low,recall_ci_high,positive_class_f1_ci_low,positive_class_f1_ci_high,pr_auc_ci_low,pr_auc_ci_high
extended_low_cost,catboost,none,0.50,0.5,0.9894404089319344,0.5031645569620253,1.0,0.0063291139240506,1.0,0.0125786163522012,0.503635218849935,0.9842550520182847,0.7869214088409676,0.0935164911494131,0.0101196879535593,14710,0,157,1,0.0,0.0220598391290217,0.0,0.0431674120163328,0.0598063263750796,0.1442718402103085
extended_low_cost,catboost,none,validation_f2,0.0362876130860798,0.953591606133979,0.6321842542316,0.0764331210191082,0.3037974683544304,0.9605710401087696,0.1221374045801526,0.5491516038444805,0.9670901717550601,0.7869214088409676,0.0935164911494131,0.0101196879535593,14130,580,110,48,0.2344800646551724,0.3827371892440385,0.0904455966836836,0.1544450967461759,0.0598063263750796,0.1442718402103085
extended_low_cost,extra_trees,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.7846020962231841,0.0703701591161001,0.0102158531524773,14710,0,158,0,0.0,0.0,0.0,0.0,0.0486185840924317,0.1169503554111978
extended_low_cost,extra_trees,none,validation_f2,0.0404945633704259,0.9537933817594836,0.635416792158955,0.0781499202551834,0.310126582278481,0.9607070020394288,0.1248407643312101,0.5505555070317583,0.9672222366375139,0.7846020962231841,0.0703701591161001,0.0102158531524773,14132,578,109,49,0.2380879790940766,0.3858747248211337,0.0922628174721367,0.1567660692595622,0.0486185840924317,0.1169503554111978
extended_low_cost,logistic_regression,class_weight,0.50,0.5,0.781678773204197,0.7206163033844195,0.0315533980582524,0.6582278481012658,0.7830047586675731,0.0602200347423277,0.4683567261452298,0.8678190030684899,0.7938176044884647,0.069188343319707,0.1722047688792989,11518,3192,54,104,0.5815561603166749,0.7317182055749128,0.0490894906161972,0.0715575105897686,0.0483703289829941,0.1091465199695931
extended_low_cost,logistic_regression,class_weight,validation_f2,0.7879034938787791,0.9512375571697606,0.6278640208589696,0.0711043872919818,0.2974683544303797,0.9582596872875596,0.1147741147741147,0.544851178838107,0.965787514341148,0.7938176044884647,0.069188343319707,0.1722047688792989,14096,614,111,47,0.2266547619047619,0.3766256004269703,0.084472049689441,0.1466362316625916,0.0483703289829941,0.1091465199695931
extended_low_cost,random_forest,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.7913767436257088,0.0796716767226829,0.0101475116994161,14710,0,158,0,0.0,0.0,0.0,0.0,0.0536534137012671,0.1324198850550064
extended_low_cost,random_forest,none,validation_f2,0.0455821112713393,0.9612590799031476,0.6297980362966724,0.0901960784313725,0.2911392405063291,0.9684568320870156,0.1377245508982036,0.5589544730547162,0.9712317011433341,0.7913767436257088,0.0796716767226829,0.0101475116994161,14246,464,112,46,0.2230743243243243,0.3609626249456757,0.103609165559715,0.1732781155015197,0.0536534137012671,0.1324198850550064
extended_low_cost,soft_voting,none,0.50,0.5,0.9894404089319344,0.5031645569620253,1.0,0.0063291139240506,1.0,0.0125786163522012,0.503635218849935,0.9842550520182847,0.7925139188875217,0.0813195504656694,0.0101642532205545,14710,0,157,1,0.0,0.0220598391290217,0.0,0.0431674120163328,0.0541348239272587,0.1278565069277772
extended_low_cost,soft_voting,none,validation_f2,0.0358605681876455,0.9525827280064568,0.6410660964297086,0.0785824345146379,0.3227848101265823,0.9593473827328348,0.1263940520446096,0.5510120213557073,0.9666052880637441,0.7925139188875217,0.0813195504656694,0.0101642532205545,14112,598,107,51,0.2515695685755268,0.3986535306983284,0.09424849036314,0.1594049156155215,0.0541348239272587,0.1278565069277772
lifestyle_only,catboost,smotenc_0.10,0.50,0.5,0.98923863330643,0.4999320190346702,0.0,0.0,0.9998640380693404,0.0,0.4972951041384906,0.9840208477101423,0.7332358078978393,0.0405521518240153,0.0119083043752567,14708,2,158,0,0.0,0.0,0.0,0.0,0.0284247941979647,0.0642423342839001
lifestyle_only,catboost,smotenc_0.10,validation_f2,0.0875471799613363,0.9246704331450094,0.6144377802063523,0.0445075757575757,0.2974683544303797,0.931407205982325,0.0774299835255354,0.5190810250002685,0.951345348079386,0.7332358078978393,0.0405521518240153,0.0119083043752567,13701,1009,111,47,0.2269217570350034,0.3721261407123932,0.0581854492399706,0.0986426092808184,0.0284247941979647,0.0642423342839001
