validation_rank,feature_config,model,imbalance_treatment,validation_threshold,validation_precision,validation_recall,validation_specificity,validation_f2,validation_pr_auc,voting_weights,selected_winner
1,extended_low_cost,logistic_regression,class_weight,0.7879034938787791,0.0912106135986733,0.3503184713375796,0.9627464309993202,0.22339561332250202,0.08641769375123162,,True
2,extended_low_cost,logistic_regression,none,0.0339526544040773,0.09046052631578948,0.3503184713375796,0.9624065261726716,0.2224919093851133,0.08449758925167217,,False
3,extended_low_cost,soft_voting,none,0.0358605681876455,0.0896551724137931,0.33121019108280253,0.9641060503059143,0.2152317880794702,0.08623249876006865,"(2, 1, 2)",False
4,extended_low_cost,catboost,none,0.0362876130860798,0.09210526315789473,0.31210191082802546,0.9671651937457512,0.21120689655172412,0.08307734953554238,,False
5,extended_low_cost,soft_voting,class_weight,0.6662069184404507,0.08235294117647059,0.31210191082802546,0.9628823929299796,0.20032706459525756,0.07577319623928692,"(2, 1, 1)",False
6,extended_low_cost,random_forest,none,0.0455821112713393,0.09052631578947369,0.27388535031847133,0.9706322229775662,0.19492293744333636,0.08043626662583384,,False
7,extended_low_cost,catboost,class_weight,0.6528132109223609,0.06,0.4012738853503185,0.9329027872195785,0.18772348033373062,0.06725410359548939,,False
8,extended_low_cost,extra_trees,none,0.0404945633704259,0.07345575959933222,0.2802547770700637,0.9622705642420122,0.17929910350448247,0.07168136023137563,,False
9,extended_low_cost,logistic_regression,smotenc_0.10,0.3172385081644956,0.0827250608272506,0.21656050955414013,0.9743711760707002,0.16361886429258904,0.059409864819352495,,False
10,extended_low_cost,catboost,smotenc_0.10,0.1615367289643628,0.08839779005524862,0.20382165605095542,0.9775662814411965,0.16161616161616163,0.06059040731864156,,False
11,extended_low_cost,soft_voting,smotenc_0.10,0.21733321238955,0.08,0.21656050955414013,0.9734194425560843,0.16144349477682812,0.060737257356167335,"(2, 1, 2)",False
12,lifestyle_only,extra_trees,none,0.0281373822799054,0.05023696682464455,0.3375796178343949,0.9318830727396329,0.1574569221628045,0.043207900924444535,,False
13,lifestyle_only,catboost,smotenc_0.10,0.0875471799613363,0.05200433369447454,0.3057324840764331,0.9405166553365057,0.15473887814313347,0.03545174814275265,,False
14,extended_low_cost,logistic_regression,smotenc_0.25,0.5108524095585462,0.06924643584521385,0.21656050955414013,0.9689326988443235,0.15192135835567472,0.05320573232829276,,False
15,extended_low_cost,random_forest,smotenc_0.10,0.1950840415342118,0.06813627254509018,0.21656050955414013,0.9683888511216859,0.15084294587400177,0.05092291882334199,,False
16,lifestyle_only,logistic_regression,class_weight,0.8133430962627947,0.06732673267326733,0.21656050955414013,0.9679809653297077,0.1500441306266549,0.053089234682511255,,False
17,lifestyle_only,random_forest,none,0.0271561360238944,0.04630454140694568,0.33121019108280253,0.927192386131883,0.14848657909765847,0.0436848475309616,,False
18,lifestyle_only,logistic_regression,none,0.0387658532424717,0.0625,0.2229299363057325,0.9643099932019035,0.1473063973063973,0.05471428538112416,,False
19,extended_low_cost,random_forest,smotenc_0.25,0.3144160788881421,0.06010016694490818,0.22929936305732485,0.9617267165193746,0.14669926650366752,0.04249645570986427,,False
20,extended_low_cost,soft_voting,smotenc_0.25,0.2878564076157131,0.06765327695560254,0.20382165605095542,0.970020394289599,0.145322434150772,0.053482130498697496,"(1, 1, 2)",False
21,lifestyle_only,soft_voting,none,0.0213671595148289,0.04224326292789512,0.36942675159235666,0.9106050305914344,0.14492753623188406,0.05027289988047695,"(2, 1, 1)",False
22,lifestyle_only,catboost,none,0.0215059403160388,0.04294478527607362,0.35668789808917195,0.9151597552685248,0.14492753623188404,0.04339387374651812,,False
23,lifestyle_only,catboost,smotenc_0.25,0.1133735539003346,0.04428697962798937,0.3184713375796178,0.9266485384092454,0.1422879908935686,0.03598978821774478,,False
