feature_config,model,imbalance_treatment,threshold,f2,precision,recall,pr_auc,roc_auc,brier_score,voting_weights
extended_low_cost,catboost,none,0.03628761308607987,0.21120689655172412,0.09210526315789473,0.31210191082802546,0.08307734953554238,0.7836243813515656,0.010095707858501673,
extended_low_cost,extra_trees,none,0.04049456337042595,0.17929910350448247,0.07345575959933222,0.2802547770700637,0.07168136023137563,0.7710734497525407,0.010159941615776059,
extended_low_cost,logistic_regression,class_weight,0.7879034938787791,0.22339561332250202,0.0912106135986733,0.3503184713375796,0.08641769375123162,0.7915166683264991,0.1680660435669977,
extended_low_cost,random_forest,none,0.04558211127133937,0.19492293744333636,0.09052631578947369,0.27388535031847133,0.08043626662583384,0.7758442413194371,0.010115707429856605,
extended_low_cost,soft_voting,none,0.03586056818764554,0.2152317880794702,0.0896551724137931,0.33121019108280253,0.08623249876006865,0.791134329521492,0.010068859430481678,"(2, 1, 2)"
lifestyle_only,catboost,smotenc_0.10,0.08754717996133632,0.15473887814313347,0.05200433369447454,0.3057324840764331,0.03545174814275265,0.7319021247299164,0.011725138735860039,
lifestyle_only,extra_trees,none,0.02813738227990547,0.1574569221628045,0.05023696682464455,0.3375796178343949,0.043207900924444535,0.7368686321969976,0.010351966034901749,
lifestyle_only,logistic_regression,class_weight,0.8133430962627947,0.1500441306266549,0.06732673267326733,0.21656050955414013,0.053089234682511255,0.7556829056017182,0.1850423942872941,
lifestyle_only,random_forest,none,0.02715613602389446,0.14848657909765847,0.04630454140694568,0.33121019108280253,0.0436848475309616,0.7345280518906935,0.01030861827993535,
lifestyle_only,soft_voting,none,0.021367159514828937,0.14492753623188406,0.04224326292789512,0.36942675159235666,0.05027289988047695,0.7559119624848991,0.010266514051305934,"(2, 1, 1)"
