preprocessed_feature,original_feature,mean_absolute_shap
_SEX=Male,_SEX,0.21084146227505657
_AGE80,_AGE80,0.15589294239957804
_EDUCAG=College/technical graduate,_EDUCAG,0.15208226571991157
GENHLTH=Very good,GENHLTH,0.14331669668511263
_BMI5,_BMI5,0.1316547332418881
BPHIGH6=No,BPHIGH6,0.11309535544163589
BPHIGH6=High blood pressure,BPHIGH6,0.11162072910738043
GENHLTH=Fair,GENHLTH,0.10436966325185044
cholesterol_status=High,cholesterol_status,0.08833824709216824
DRNKANY6=No,DRNKANY6,0.08382951247002142
MENTHLTH,MENTHLTH,0.08130589960913938
GENHLTH=Excellent,GENHLTH,0.07759019691411542
_SMOKER3=Every day,_SMOKER3,0.07137260457052921
_SMOKER3=Former,_SMOKER3,0.06579619286488109
_EDUCAG=High-school graduate,_EDUCAG,0.06575092153016027
_INCOMG1=$100k-<$200k,_INCOMG1,0.06218078789034585
_SMOKER3=__MISSING__,_SMOKER3,0.05742348428190783
PHYSHLTH,PHYSHLTH,0.05655479588457589
_INCOMG1=$50k-<$100k,_INCOMG1,0.056179503207938464
_INCOMG1=$15k-<$25k,_INCOMG1,0.05483863447147454
DIFFWALK=No,DIFFWALK,0.048738430181945534
_INCOMG1=$35k-<$50k,_INCOMG1,0.0474881713691217
GENHLTH=Poor,GENHLTH,0.04707710970469882
_EDUCAG=Did not graduate high school,_EDUCAG,0.045536278212888075
_SMOKER3=Some days,_SMOKER3,0.042332356071975843
_SMOKER3=Never,_SMOKER3,0.041009946634160216
DIABETE4=Diabetes,DIABETE4,0.03572736346282218
DIFFWALK=Difficulty walking,DIFFWALK,0.03536875154960132
cholesterol_status=Unknown/not sure,cholesterol_status,0.03301683347060288
_INCOMG1=__MISSING__,_INCOMG1,0.028929501145473976
DRNKANY6=__MISSING__,DRNKANY6,0.024625447609790605
DIFFWALK=__MISSING__,DIFFWALK,0.020948760881172694
_TOTINDA=Active,_TOTINDA,0.020611068633413998
EXERANY2=Yes,EXERANY2,0.020611068633413998
CHCKDNY2=Kidney disease,CHCKDNY2,0.01955144785909717
_SEX=Female,_SEX,0.019069476103182877
_EDUCAG=Some college/technical school,_EDUCAG,0.017783409433660118
CHCKDNY2=No,CHCKDNY2,0.01775713285141276
EXERANY2=No,EXERANY2,0.01704319276988548
_TOTINDA=Inactive,_TOTINDA,0.01704319276988548
_INCOMG1=< $15k,_INCOMG1,0.01697358338766204
cholesterol_status=Not high,cholesterol_status,0.012628442603273246
DRNKANY6=Yes,DRNKANY6,0.011859200550534972
DIABETE4=No,DIABETE4,0.009645353769258153
_INCOMG1=$25k-<$35k,_INCOMG1,0.008657607738499919
GENHLTH=Good,GENHLTH,0.007711416117220146
_INCOMG1=$200k+,_INCOMG1,0.007328746558109593
BPHIGH6=Pregnancy only,BPHIGH6,0.006649856956456635
DIABETE4=Pre-diabetes/borderline,DIABETE4,0.006628015899546338
cholesterol_status=Never checked,cholesterol_status,0.005698977235840958
DIABETE4=Pregnancy only,DIABETE4,0.002795355278622495
_EDUCAG=__MISSING__,_EDUCAG,0.0014442455345498684
BPHIGH6=__MISSING__,BPHIGH6,0.0008747561812889813
EXERANY2=__MISSING__,EXERANY2,0.000793296503153979
_TOTINDA=__MISSING__,_TOTINDA,0.000793296503153979
BPHIGH6=Borderline/elevated,BPHIGH6,0.0006094160441783493
DIABETE4=__MISSING__,DIABETE4,0.0005188274388550145
cholesterol_status=Refused,cholesterol_status,0.0004888541390849126
GENHLTH=__MISSING__,GENHLTH,0.000438929285641241
CHCKDNY2=__MISSING__,CHCKDNY2,0.000304269592931097
