original_feature,mean_absolute_shap
BPHIGH6,0.22848269995122555
GENHLTH,0.2253240911350405
_SMOKER3,0.2064798280270601
_EDUCAG,0.1985821890006498
_SEX,0.19177198617187097
_INCOMG1,0.16163408322401934
_AGE80,0.15589294239957954
_BMI5,0.13165473324188742
DRNKANY6,0.10678206965145332
DIFFWALK,0.10297770318158432
cholesterol_status,0.09435878406545964
MENTHLTH,0.0813058996091381
PHYSHLTH,0.05655479588457429
DIABETE4,0.0439399636564647
CHCKDNY2,0.03759055674829845
EXERANY2,0.0040771020658645725
_TOTINDA,0.0040771020658645725
