dimension,group,sample_size,positive_cases,prevalence,stability_flag,global_threshold,accuracy,precision,recall,specificity,false_positive_rate,positive_class_f1,macro_f1,weighted_f1,balanced_accuracy,pr_auc,tn,fp,fn,tp,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,positive_class_f1_ci_low,positive_class_f1_ci_high,pr_auc_ci_low,pr_auc_ci_high
Age,18-24,3807,16,0.0042027843446283165,Unstable: <30 positives,0.7879034938787791,0.9802994483845547,0.07246376811594203,0.3125,0.9831179108414666,0.01688208915853337,0.11764705882352941,0.5538427882774839,0.9863720445655528,0.6478089554207334,0.14029064113388878,3727,64,11,5,0.0869318181818182,0.5555555555555556,0.9786273984802106,0.9870679976763171,0.025150316455696202,0.20994492044063645,0.016829826212179783,0.34542749041335075
Age,25-29,3215,25,0.007776049766718507,Unstable: <30 positives,0.7879034938787791,0.9710730948678071,0.09523809523809523,0.32,0.9761755485893417,0.023824451410658306,0.14678899082568808,0.5660380644683732,0.9787669347884661,0.6480877742946709,0.12884285417164493,3114,76,17,8,0.1428409090909091,0.5186896551724137,0.9705829363353128,0.9812119831637028,0.06413615560640733,0.23224312184166193,0.04032494616041684,0.3147473235942017
Age,30-34,3756,46,0.012247071352502662,Stable: >=30 positives,0.7879034938787791,0.9438232161874335,0.04918032786885246,0.1956521739130435,0.953099730458221,0.04690026954177898,0.07860262008733625,0.524815521220381,0.9600988198762586,0.5743759521856323,0.046994630441772885,3536,174,37,9,0.09191331923890064,0.31088068181818174,0.9456759127547223,0.9597851493051551,0.034035926408807766,0.13364583333333332,0.026968519518457024,0.09960609056843239
Age,35-39,4090,71,0.017359413202933986,Stable: >=30 positives,0.7879034938787791,0.9154034229828851,0.07692307692307693,0.352112676056338,0.9253545658123912,0.07464543418760886,0.12626262626262627,0.5409062360501209,0.9411539063291012,0.6387336209343646,0.08488399347033664,3719,300,46,25,0.2416575392479007,0.4710227272727272,0.918221448285675,0.9332234886025768,0.08267720741413385,0.17466527855119482,0.05079700224255662,0.1529764026993487
Sex,Male,7733,91,0.011767748609853874,Stable: >=30 positives,0.7879034938787791,0.9476270528902108,0.08244680851063829,0.34065934065934067,0.9548547500654279,0.0451452499345721,0.13276231263383298,0.5528802562569125,0.9631105151859017,0.6477570453623842,0.08411303775525739,7297,345,60,31,0.2397419222343921,0.4382830537171002,0.9502885726154638,0.9596959010283941,0.09010845609558056,0.17214429805207085,0.05409454185268805,0.13971443488076876
Sex,Female,7135,67,0.009390329362298529,Stable: >=30 positives,0.7879034938787791,0.9551506657323056,0.056140350877192984,0.23880597014925373,0.9619411431805319,0.03805885681946802,0.09090909090909091,0.5339586408705534,0.9686874284361036,0.6003735566648928,0.05759547873347884,6799,269,51,16,0.14606261859582545,0.33116438356164374,0.9575145611659791,0.9664262404452683,0.051634059582036464,0.12976858345021033,0.034321383072725364,0.12218584117903274
Income,< $15k,632,16,0.02531645569620253,Unstable: <30 positives,0.7879034938787791,0.8243670886075949,0.08695652173913043,0.625,0.8295454545454546,0.17045454545454544,0.15267175572519084,0.5273508822756581,0.8830589138109121,0.7272727272727273,0.2631293696980938,511,105,6,10,0.375,0.8571428571428571,0.8021266484575749,0.8575063466420494,0.06965760077707625,0.23578045391384897,0.10629916985177751,0.5449757484032614
Income,$15k-<$25k,959,15,0.01564129301355579,Unstable: <30 positives,0.7879034938787791,0.8686131386861314,0.03361344537815126,0.26666666666666666,0.878177966101695,0.12182203389830508,0.05970149253731343,0.4945368449233652,0.915769422990771,0.5724223163841808,0.0355510934980485,829,115,11,4,0.02794117647058832,0.5,0.8561839323467231,0.8998495248152059,0.0062500000000000186,0.12447506561679783,0.015663008304395834,0.0816611061919021
Income,$25k-<$35k,1356,25,0.018436578171091445,Unstable: <30 positives,0.7879034938787791,0.9188790560471977,0.102803738317757,0.44,0.9278737791134485,0.07212622088655146,0.16666666666666666,0.562015503875969,0.9427865816011526,0.6839368895567243,0.11363652150542411,1235,96,14,11,0.25383064516129034,0.6221726190476189,0.9136944286747363,0.9408710718448496,0.08731884057971014,0.24901859504132226,0.053248601596228226,0.23588659199228032
Income,$35k-<$50k,1664,23,0.013822115384615384,Unstable: <30 positives,0.7879034938787791,0.9254807692307693,0.028037383177570093,0.13043478260869565,0.9366240097501524,0.06337599024984765,0.046153846153846156,0.5036898061288305,0.9485775364410449,0.533529396179424,0.04757123028194688,1537,104,20,3,0.0,0.276867816091954,0.924870297666024,0.9479899503533759,0.0,0.09826405988377818,0.02024793969263979,0.15173098051848094
Income,$50k-<$100k,3795,24,0.006324110671936759,Unstable: <30 positives,0.7879034938787791,0.9765480895915678,0.0547945205479452,0.16666666666666666,0.9817024661893397,0.018297533810660304,0.08247422680412371,0.5352982371175297,0.9823948291186712,0.5741845664280032,0.02868785597331173,3702,69,20,4,0.03919230769230769,0.32075,0.9778550866017557,0.9859215663403347,0.019801980198019802,0.1568627450980392,0.01133359397234736,0.0778937318708332
Income,$100k-<$200k,2801,21,0.007497322384862549,Unstable: <30 positives,0.7879034938787791,0.9871474473402356,0.17391304347826086,0.19047619047619047,0.9931654676258993,0.006834532374100719,0.18181818181818182,0.5876705158821028,0.9874372383677715,0.5918208290510449,0.14710244194349065,2761,19,17,4,0.016379310344827636,0.38685897435897426,0.9902877697841727,0.9960361069440606,0.017272727272727325,0.3421951219512195,0.03426716593251196,0.3438146238252111
Income,$200k+,854,7,0.00819672131147541,Unstable: <30 positives,0.7879034938787791,0.9859484777517564,0.0,0.0,0.9940968122786304,0.0059031877213695395,0.0,0.4964622641509434,0.9847858026600681,0.4970484061393152,0.08055760118606277,842,5,7,0,0.0,0.0,0.9882137975865057,0.9988153045968541,0.0,0.0,0.011084983928565167,0.2791794730066074
Income,Missing/unknown,2807,27,0.009618810117563235,Unstable: <30 positives,0.7879034938787791,0.9583184894905593,0.09821428571428571,0.4074074074074074,0.9636690647482015,0.03633093525179856,0.15827338129496402,0.5684517591406327,0.9707392811246462,0.6855382360778044,0.1055686122455175,2679,101,16,11,0.21803668478260868,0.6086956521739131,0.956308129653136,0.9704783524531726,0.07819767441860465,0.23924503311258274,0.03847452261096382,0.24608753277850404
Education,Did not graduate high school,965,26,0.02694300518134715,Unstable: <30 positives,0.7879034938787791,0.8632124352331606,0.0859375,0.4230769230769231,0.8753993610223643,0.12460063897763578,0.14285714285714285,0.5342664092664092,0.9045841918898914,0.6492381420496437,0.09936089359085815,822,117,15,11,0.24187565308254966,0.6086956521739131,0.8534085084135093,0.8955561267933744,0.07322866344605475,0.21777119585338756,0.053012209309556316,0.21069149645053864
Education,High-school graduate,4170,39,0.00935251798561151,Stable: >=30 positives,0.7879034938787791,0.9330935251798561,0.058823529411764705,0.41025641025641024,0.9380295328007746,0.06197046719922537,0.10289389067524116,0.5340724279631032,0.9571857552009764,0.6741429715285925,0.08682293145832708,3875,256,23,16,0.25276162790697676,0.5671396396396396,0.9309466858437278,0.945162800401175,0.05778042295325254,0.153399200188191,0.03932373689266959,0.19423878299355846
Education,Some college/technical school,3844,49,0.012747138397502602,Stable: >=30 positives,0.7879034938787791,0.9477107180020812,0.08241758241758242,0.30612244897959184,0.9559947299077733,0.044005270092226614,0.12987012987012986,0.5514577952555691,0.962297388006312,0.6310585894436826,0.0856074855795729,3628,167,34,15,0.18057823129251702,0.4306490384615381,0.9498709445943933,0.9618603110710687,0.07641187925998053,0.1852834804807999,0.043899549167299885,0.17725234317867192
Education,College/technical graduate,5807,44,0.0075770621663509554,Stable: >=30 positives,0.7879034938787791,0.9812295505424488,0.06666666666666667,0.11363636363636363,0.9878535484990456,0.012146451500954364,0.08403361344537816,0.5372756149001575,0.9836491307120886,0.5507449560677046,0.08107722149975756,5693,70,39,5,0.028154761904761905,0.21428571428571427,0.9850603015478754,0.9902058974247936,0.018775348263092927,0.15135328562134026,0.03276439763783165,0.16587783976609527
Education,Missing/unknown,82,0,0.0,Unstable: <30 positives,0.7879034938787791,0.9512195121951219,0.0,0.0,0.9512195121951219,0.04878048780487805,0.0,0.4875,0.9750000000000001,0.47560975609756095,,78,4,0,0,,,,,,,,
